Date,Avg,Avg_Min,Avg_Max
2014-01,-0.7,-4.9,3.5
2014-02,1.9,-1.8,6.6
2014-03,7.9,3.5,13.1
2014-04,14.0,9.4,19.6
2014-05,18.9,13.8,25.3
2014-06,23.1,19.7,27.8
2014-07,26.1,22.9,30.6
2014-08,25.2,22.1,29.0
2014-09,22.1,18.0,27.0
2014-10,15.6,10.7,21.4
2014-11,9.0,4.9,13.8
2014-12,-2.9,-6.7,1.5
2015-01,-0.9,-4.8,3.6
2015-02,1.0,-2.9,6.0
2015-03,6.3,1.0,12.4
2015-04,13.3,8.4,18.8
2015-05,18.9,13.6,24.9
2015-06,23.6,18.9,29.5
2015-07,25.8,22.6,30.0
2015-08,26.3,22.8,30.8
2015-09,22.4,17.5,28.1
2015-10,15.5,10.8,21.2
2015-11,8.9,5.9,12.7
2015-12,1.6,-2.1,6.0
2016-01,-3.2,-6.8,1.1
2016-02,0.2,-4.1,5.1
2016-03,7.0,2.4,12.6
2016-04,14.1,9.1,20.3
2016-05,19.6,14.1,25.7
2016-06,23.6,19.5,28.7
2016-07,26.2,23.3,29.8
2016-08,28.0,24.5,32.6
2016-09,23.1,19.3,27.9
2016-10,16.1,11.6,21.3
2016-11,6.8,2.8,11.6
2016-12,1.2,-2.7,5.8
2017-01,-1.8,-5.8,2.9
2017-02,-0.2,-4.7,4.8
2017-03,6.3,1.7,12.3
2017-04,13.9,9.1,20.0
2017-05,19.5,14.4,25.4
2017-06,23.3,18.7,28.8
2017-07,26.9,24.3,30.4
2017-08,25.9,22.9,29.7
2017-09,22.1,17.5,27.4
2017-10,16.4,11.6,22.5
2017-11,5.6,1.3,10.5
2017-12,-1.9,-5.7,2.2
2018-01,-4.0,-7.3,0.1
2018-02,-1.6,-5.9,3.3
2018-03,8.1,3.8,13.6
2018-04,13.0,8.1,18.5
2018-05,18.2,13.4,23.3
2018-06,23.1,18.9,28.4
2018-07,27.8,24.2,32.1
2018-08,28.8,25.2,33.3
2018-09,21.5,17.6,26.0
2018-10,13.1,8.5,18.6
2018-11,7.8,3.6,13.2
2018-12,-0.6,-4.7,4.1
2019-01,-0.9,-5.1,4.1
2019-02,1.0,-3.2,6.0
2019-03,7.1,2.7,12.4
2019-04,12.1,7.2,17.6
2019-05,19.4,13.7,25.6
2019-06,22.5,18.1,27.7
2019-07,25.9,22.7,30.1
2019-08,27.2,23.6,31.6
2019-09,22.6,19.0,27.1
2019-10,16.4,11.8,21.8
2019-11,7.6,3.1,12.9
2019-12,1.4,-2.6,5.3
2020-01,1.6,-1.7,5.9
2020-02,2.5,-1.3,7.2
2020-03,7.7,2.6,13.3
2020-04,11.1,6.3,16.6
2020-05,18.0,13.7,23.3
2020-06,23.9,19.9,29.0
2020-07,24.1,21.1,28.0
2020-08,26.5,24.4,29.3
2020-09,21.4,18.0,25.6
2020-10,14.3,9.6,19.5
2020-11,8.0,4.0,12.6
2020-12,-0.3,-4.2,3.9
2021-01,-2.4,-6.8,2.2
2021-02,2.7,-2.2,7.9
2021-03,9.0,4.3,14.8
2021-04,14.2,9.5,19.5
2021-05,17.1,12.8,21.9
2021-06,22.8,18.9,27.6
2021-07,28.1,24.6,32.2
2021-08,25.9,22.8,29.7
2021-09,22.6,18.8,26.9
2021-10,15.6,11.6,20.5
2021-11,8.2,4.0,13.1
2021-12,0.6,-3.5,5.1
2022-01,-2.2,-6.2,2.6
2022-02,-1.1,-5.3,3.8
2022-03,7.7,3.2,12.7
2022-04,14.8,10.0,20.6
2022-05,19.1,13.9,25.0
2022-06,23.3,19.8,27.5
2022-07,27.3,24.2,31.0
2022-08,25.7,23.1,28.9
2022-09,22.4,18.2,27.2
2022-10,14.6,10.3,19.7
2022-11,10.0,5.6,15.4
2022-12,-2.8,-6.6,1.7
2023-01,-1.5,-5.7,3.2
2023-02,2.3,-1.9,7.3
2023-03,9.8,4.2,16.2
2023-04,13.8,8.8,19.0
2023-05,19.5,14.6,25.0
2023-06,23.4,19.7,27.9
2023-07,26.7,23.9,30.2
2023-08,27.2,24.3,30.8
2023-09,23.7,20.2,27.6
2023-10,15.8,11.5,21.0
2023-11,6.8,2.9,11.5
2023-12,1.1,-2.5,5.2
